FastText_News,Label
"['tencent', 'reveal', 'real', 'number', 'death']",0
"['take', 'chlorin', 'dioxid', 'help', 'fight', 'coronaviru']",0
"['video', 'show', 'workmen', 'uncov', 'batinfest', 'roof', 'us', 'state', 'florida']",0
"['asterix', 'comic', 'book', 'simpson', 'predict', 'coronaviru', 'outbreak']",0
"['chines', 'presid', 'xi', 'jinp', 'visit', 'mosqu', 'amid', 'coronaviru', 'outbreak', 'ask', 'peopl', 'muslim', 'commun', 'pray', 'present', 'crisi']",0
"['china', 'seek', 'court', 'approv', 'kill', 'coronaviru', 'patient', 'stop', 'spread', 'outbreak']",0
"['video', 'show', 'peopl', 'scream', 'wuhan', 'fear', 'coronaviru']",0
"['video', 'say', 'weed', 'kill', 'coronaviru']",0
"['coronaviru', 'found', 'broiler', 'chicken']",0
"['photo', 'pakistani', 'prime', 'minist', 'imran', 'khan', 'chines', 'presid', 'xi', 'jinp', 'imran', 'khan', 'wear', 'mask']",0
"['autopsi', 'reveal', 'wuhan', 'doctor', 'murder', 'sickb']",0
"['new', 'coronaviru', 'caus', 'sudden', 'death', 'syndrom']",0
"['coronaviru', 'caus', 'snake']",0
"['cannabi', 'cure', 'coronaviru']",0
"['woman', 'infect', 'coronaviru', 'kill', 'chines', 'polic']",0
"['garlic', 'water', 'cure', 'novel', 'coronaviru']",0
"['coronaviru', 'found', 'broiler', 'chicken']",0
"['bill', 'gate', 'predict', 'coronaviru']",0
"['facebook', 'user', 'predict', 'coronaviru', 'china']",0
"['case', 'coronaviru', 'caserta']",0
"['covid', 'stolen', 'canada', 'chines', 'spi', 'accident', 'releas', 'wuhan']",0
"['case', 'coronaviru', 'andorra']",0
"['child', 'china', 'coronaviru', 'galicia', 'spain']",0
"['person', 'coronaviru', 'andorra']",0
"['satellit', 'imag', 'show', 'high', 'level', 'sulphur', 'dioxid', 'china', 'possibl', 'evid', 'mass', 'cremat', 'peopl', 'die', 'coronaviru']",0
"['pet', 'contamin', 'human']",0
"['peopl', 'lie', 'ground', 'china', 'contract', 'coronaviru']",0
"['cat', 'dog', 'infect', 'contamin', 'human', 'covid']",0
"['coronavirusinfect', 'chicken', 'found', 'bengaluru', 'india']",0
"['video', 'state', 'chines', 'kill']",0
"['peopl', 'wuhan', 'lock', 'insid', 'hous', 'chines', 'govern']",0
['break'],0
"['coronaviru', 'epidem', 'disappear', 'april', 'thank', 'heat', 'presid', 'donald', 'trump', 'said']",0
"['polic', 'publicli', 'kill', 'coronavirusinfect', 'woman', 'china']",0
"['chines', 'begun', 'use', 'human', 'corps', 'process', 'product', 'corn', 'beef', 'ship', 'africa', 'pleas', 'share', 'contact', 'import']",0
"['china', 'seek', 'court', 'approv', 'kill', 'peopl', 'posit', 'coronaviru']",0
"['china', 'seek', 'court', 'approv', 'kill', 'coronaviru', 'patient']",0
"['hand', 'sanit', 'form', 'label', 'covid']",0
"['china', 'order', 'citizen', 'abandonkil', 'pet', 'transmit', 'coronaviru']",0
"['vitamin', 'c', 'omega', 'prevent', 'new', 'coronaviru']",0
"['german', 'quarantin', 'la', 'gomera', 'coronaviru', 'leav', 'home', 'isol', 'without', 'permiss']",0
"['coronaviru', 'pandem', 'dramat', 'slow', 'stop', 'immedi', 'widespread', 'use', 'high', 'dose', 'vitamin', 'c']",0
"['coronaviru', 'case', 'report', 'rome', 'georgia']",0
"['silver', 'solut', 'use', 'strain', 'coronaviru', 'total', 'elimin', 'kill', 'deactiv']",0
"['bat', 'respons', 'outbreak', 'coronaviru', 'origin', 'rooftop', 'hous', 'wuhan']",0
"['weed', 'kill', 'coronaviru']",0
"['covid', 'caus', 'g', 'antenna']",0
"['satellit', 'imag', 'show', 'high', 'level', 'sulphur', 'dioxid', 'china', 'possibl', 'evid', 'mass', 'cremat', 'peopl', 'die', 'coronaviru']",0
"['use', 'cocain', 'kill', 'coronaviru']",0
"['chines', 'news', 'websit', 'tencent', 'filter', 'death', 'coronaviru']",0
"['claim', 'cannib', 'china']",0
"['person', 'coronaviru', 'calella', 'barcelona']",0
"['sulfur', 'dioxid', 'pollut', 'wuhan', 'reveal', 'china', 'burn', 'bodi', 'victim']",0
"['coronaviru', 'creat', 'lab', 'wuhan']",0
"['peopl', 'wuhan', 'lock', 'insid', 'hous', 'tri', 'escap', 'build', 'fire']",0
"['declar', 'covid', 'abbrevi', 'china', 'outbreak', 'viru', 'decemb']",0
"['video', 'show', 'polic', 'kill', 'covid', 'affect', 'peopl', 'china']",0
"['chicken', 'infect', 'coronaviru', 'found', 'bangalor']",0
"['video', 'polic', 'kill', 'covid', 'affect', 'peopl', 'china']",0
"['video', 'show', 'chines', 'epidemiologist', 'say', 'million', 'peopl', 'infect']",0
"['photo', 'chines', 'tapafrom', 'bat']",0
"['residenti', 'build', 'set', 'fire', 'wuhan', 'control', 'spread', 'coronaviru']",0
"['highris', 'build', 'becom', 'human', 'inciner', 'combat', 'spread', 'coronaviru']",0
"['new', 'confirm', 'case', 'covid', 'kolkatta', 'report', 'press', 'trust', 'india']",0
"['high', 'level', 'sulfur', 'dioxid', 'wuhan', 'may', 'sign', 'mass', 'cremat', 'victim', 'coronaviru']",0
"['china', 'announc', 'sucess', 'egyptian', 'serum', 'form', 'dr', 'hala', 'ealth', 'minit', 'egypt', 'coronaviru']",0
"['china', 'announc', 'success', 'egyptian', 'serum', 'form', 'dr', 'hala', 'health', 'minist', 'egypt', 'coronaviru']",0
"['covid', 'case', 'east', 'indian', 'state']",0
"['bu', 'driver', 'china', 'vomit', 'blood', 'becom', 'unconsci', 'behind', 'wheel']",0
"['video', 'show', 'massiv', 'explos', 'wuhan', 'china', 'control', 'spread', 'coronaviru']",0
"['black', 'skin', 'resist', 'coronaviru']",0
"['consum', 'magnesium', 'chlorid', 'sodium', 'bicarbon', 'ginger', 'lemon', 'juic', 'prevent', 'coronaviru', 'infect']",0
"['latest', 'research', 'chines', 'scientist', 'said', 'coronaviru', 'render', 'male', 'patient', 'infertil']",0
"['bottl', 'disinfect', 'gel', 'prove', 'coronaviru', 'exist']",0
"['coronaviru', 'outbreak', 'georgia', 'caus', 'eugeorgia', 'associ', 'agreement']",0
"['drink', 'alcohol', 'kill', 'coronaviru']",0
"['seven', 'children', 'die', 'coronaviru', 'within', 'one', 'week', 'karimganj', 'assam', 'india']",0
"['cocain', 'kill', 'coronaviru']",0
"['data', 'show', 'massiv', 'releas', 'sulfur', 'dioxid', 'ga', 'near', 'wuhan']",0
"['pop', 'bubbl', 'wrap', 'expos', 'peopl', 'coronaviru']",0
"['million', 'chines', 'peopl', 'convert', 'islam', 'proven', 'coronaviru', 'affect', 'muslim']",0
"['video', 'show', 'corps', 'street', 'wuhan']",0
"['chines', 'polic', 'kill', 'woman', 'escap', 'covid', 'quarantin', 'china']",0
"['india', 'develop', 'treatment', 'coronaviru']",0
"['chines', 'convert', 'islam', 'realiz', 'muslim', 'affect', 'covid', 'countri']",0
"['coronavirusinfect', 'patient', 'reach', 'dr', 'vinod', 'kumar', 'wasnt', 'given', 'treatment', 'later', 'refer', 'bhagalpur', 'state', 'one', 'avoid', 'meat', 'fish', 'month', 'wear', 'mask', 'protect', 'coronaviru']",0
"['world', 'lab', 'confirm', 'coronaviru', 'bioengin']",0
"['elderli', 'chines', 'coupl', 'infect', 'coronaviru', 'say', 'goodby', 'hospit']",0
"['coronaviru', 'biolog', 'warfar', 'weapon']",0
"['book', 'end', 'day', 'predict', 'current', 'coronaviru', 'outbreak']",0
"['video', 'say', 'coronaviru', 'invent', 'patent', 'usa', 'plant', 'china']",0
"['studi', 'show', 'coronaviru', 'engin', 'bioweapon']",0
"['chines', 'convert', 'islam', 'realiz', 'muslim', 'affect', 'covd', 'countri']",0
"['chines', 'man', 'lynch', 'pretend', 'coronaviru']",0
"['drug', 'arbidol', 'help', 'fight', 'new', 'coronaviru']",0
"['million', 'chines', 'convert', 'islam', 'coronaviru', 'affect', 'muslim']",0
"['simpson', 'predict', 'new', 'coronaviru', 'outbreak']",0
"['video', 'show', 'racist', 'reaction', 'toward', 'asian', 'peopl']",0
"['coronaviru', 'arriv', 'sarajevo', 'bosnia', 'herzegovina']",0
"['chines', 'peopl', 'flee', 'china', 'vietnam', 'coronaviru']",0
"['six', 'coronaviru', 'case', 'confirm', 'wichita', 'kansa']",0
"['pig', 'buri', 'aliv', 'due', 'coronaviru']",0
"['post', 'say', 'peopl', 'color', 'may', 'immun', 'coronaviru', 'melanin']",0
"['accord', 'studi', 'novel', 'coronaviru', 'sarscov', 'result', 'experi', 'done', 'lab', 'locat', 'near', 'market', 'wuhan']",0
"['facebook', 'statu', 'talk', 'spread', 'coronaviru']",0
"['year', 'ago', 'hand', 'sanit', 'activ', 'sarscov']",0
"['bill', 'gate', 'wrote', 'letter', 'say', 'covid', 'teach', 'human', 'lesson']",0
"['link', 'covid', 'g', 'hidden']",0
"['coronaviru', 'case', 'uttar', 'pradesh', 'district', 'india']",0
"['chines', 'swat', 'team', 'take', 'coronaviru', 'suspect']",0
"['two', 'coronaviru', 'case', 'bovalino', 'reggio', 'calabria', 'itali']",0
"['coronaviru', 'santegidio', 'abruzzo', 'itali']",0
"['coronaviru', 'parabiago', 'e', 'nerviano', 'lombardia', 'itali']",0
"['coronaviru', 'present', 'bosch', 'compani', 'bari', 'puglia', 'chines', 'peopl', 'visit', 'week']",0
"['book', 'dkoontz', 'eye', 'dark', 'predict', 'covid']",0
"['nostradamu', 'predict', 'coronaviru']",0
"['book', 'predict', 'coronaviru', 'outbreak']",0
"['radio', 'host', 'rush', 'limbaugh', 'compar', 'novel', 'coronaviru', 'common', 'cold']",0
"['coronaviru', 'common', 'cold', 'folk']",0
"['video', 'say', 'presid', 'donald', 'trump', 'spawn', 'wuhan', 'super', 'viru', 'outbreak', 'code', 'name', 'zyphr']",0
"['coronaviru', 'found', 'hors']",0
"['indian', 'govern', 'advis', 'peopl', 'purchas', 'color', 'china', 'holi']",0
"['china', 'need', 'coronaviru', 'swat', 'special', 'weapon', 'tactic', 'polic', 'team', 'arrest', 'coronaviru', 'victim']",0
"['poland', 'peopl', 'insur', 'pay', 'coronaviru', 'test', 'cant', 'afford', 'spread']",0
"['bat', 'hide', 'wuhan', 'rooftop', 'caus', 'covid', 'outbreak']",0
"['video', 'road', 'traffic', 'control', 'china', 'detect', 'peopl', 'infect', 'coronaviru']",0
"['coronaviru', 'bioweapon', 'leak', 'wuhan', 'lab']",0
"['coronaviru', 'patient', 'cremat', 'aliv', 'china']",0
"['evid', 'indic', 'covid', 'escap', 'chines', 'lab', 'research', 'caus', 'outbreak']",0
"['mortal', 'rate', 'flu', 'right', 'around', 'new', 'coronaviru']",0
"['presid', 'trump', 'claim', 'viru', 'control', 'test', 'avail']",0
"['china', 'took', 'advantag', 'coronaviru', 'crisi', 'buy', 'back', 'stock', 'technolog', 'compani', 'belong', 'foreign', 'investor']",0
"['use', 'close', 'border', 'stop', 'outbreak']",0
"['italian', 'red', 'cross', 'give', 'recip', 'make', 'amuchina', 'hand', 'sanit', 'home']",0
"['letter', 'uncl', 'wuhan', 'claim', 'covid', 'cure', 'hot', 'water']",0
"['man', 'allegedli', 'sell', 'medic', 'mask', 'denar', 'bu', 'own', 'skopj', 'public', 'transport', 'enterpris']",0
"['letter', 'packag', 'sent', 'china', 'caus', 'coronaviru', 'infect']",0
"['face', 'mask', 'good', 'protect', 'coronaviru']",0
"['new', 'coronaviru', 'regist']",0
"['school', 'suspend', 'catalonia']",0
"['new', 'case', 'coronaviru', 'madrid', 'link', 'two', 'univers', 'club']",0
"['two', 'case', 'confirm', 'coronaviru', 'huelva', 'andaluca']",0
"['monkey', 'infect', 'coronaviru', 'photo']",0
"['cdc', 'issu', 'facial', 'hair', 'recommend', 'novel', 'coronaviru', 'prevent']",0
"['post', 'say', 'hair', 'weav', 'lace', 'front', 'manufactur', 'china', 'may', 'contain', 'coronaviru']",0
"['hair', 'weav', 'lace', 'front', 'wig', 'made', 'china', 'like', 'contain', 'coronaviru']",0
"['post', 'say', 'hair', 'weav', 'lace', 'front', 'manufactur', 'china', 'may', 'contain', 'coronaviru']",0
['coronaviru'],0
"['cdc', 'recommend', 'men', 'shave', 'beard', 'protect', 'coronaviru']",0
"['hair', 'weav', 'lace', 'front', 'manufactur', 'china', 'may', 'contain', 'coronaviru']",0
"['health', 'author', 'say', 'shave', 'beard', 'protect', 'covid']",0
"['chloroquin', 'cure', 'covid']",0
"['french', 'far', 'right', 'leader', 'marin', 'le', 'pen', 'say', 'eu', 'didnt', 'act', 'outbreak']",0
"['say', 'coronaviru', 'might', 'spread', 'food']",0
"['issu', 'alert', 'buy', 'holi', 'color', 'china']",0
"['video', 'accompani', 'claim', 'show', 'bodi', 'remov', 'hospit', 'iran', 'novel', 'coronaviru', 'pandem']",0
"['video', 'show', 'chines', 'offici', 'detain', 'infect', 'citizen', 'refus', 'test']",0
"['lithuanian', 'doctor', 'give', 'advic', 'potenti', 'infect', 'coronaviru']",0
"['monkey', 'infect', 'coronaviru', 'photo']",0
"['lectur', 'suspend', 'univers', 'sevilla', 'due', 'coronaviru']",0
"['new', 'case', 'covid', 'sacedn', 'spain']",0
"['el', 'pai', 'said', 'possibl', 'case', 'coronaviru', 'hospit', 'gregorio', 'maran', 'spain']",0
"['articl', 'el', 'pai', 'say', 'case', 'coronaviru', 'school', 'architectur', 'madrid']",0
"['first', 'case', 'coronaviru', 'alcal', 'de', 'henar', 'madrid']",0
"['brothel', 'custom', 'quarantin', 'prostitut', 'test', 'posit', 'coronaviru']",0
"['sevilla', 'univers', 'suspend', 'class', 'coronaviru']",0
"['dr', 'gerardo', 'dovakin', 'found', 'vaccin', 'coronaviru']",0
"['book', 'publish', 'said', 'sever', 'pneumonialik', 'ill', 'would', 'spread', 'across', 'world', 'call', 'wuhan']",0
"['side', 'protect', 'surgic', 'mask', 'differ', 'function', 'indic', 'colour', 'choos', 'way', 'wear', 'whether', 'ill']",0
"['lysol', 'product', 'kill', 'novel', 'coronaviru']",0
"['blood', 'test', 'coronaviru', 'cost']",0
"['america', 'vaccin', 'cattl', 'coronaviru', 'year', 'yet', 'news', 'tell', 'new', 'go', 'kill', 'go', 'buy', 'mask']",0
"['start', 'march', 'travel', 'outsid', 'unit', 'state', 'wont', 'allow', 'back', 'countri', 'due', 'high', 'risk', 'coronaviru']",0
"['akira', 'movi', 'apocalypt', 'event', 'take', 'place', 'month', 'tokyo', 'olymp', 'show', 'advis', 'japan', 'postpon', 'olymp', 'pandem', 'risk']",0
"['beef', 'meat', 'best', 'vaccin', 'covid']",0
"['chines', 'polic', 'use', 'fish', 'net', 'arrest', 'man', 'high', 'fever']",0
"['covid', 'big', 'flu']",0
"['best', 'shave', 'beard', 'avoid', 'infect', 'coronaviru']",0
"['german', 'govern', 'made', 'secret', 'plan', 'coronaviru', 'foretold', 'pandem']",0
"['tip', 'coronaviru', 'like', 'hold', 'breath', 'drink', 'water']",0
"['coronaviru', 'patient', 'china', 'caught', 'offici', 'highway']",0
"['video', 'chao', 'shop', 'claim', 'peopl', 'panick', 'first', 'confirm', 'case', 'coronaviru', 'lithuania']",0
"['summer', 'temperatur', 'make', 'coronaviru', 'disappear']",0
"['spanish', 'newspap', 'abc', 'report', 'two', 'possibl', 'covid', 'case', 'gine', 'benecazn', 'sevil', 'spain']",0
"['man', 'ga', 'mask', 'supermarket', 'lugo', 'galicia', 'spain']",0
"['wife', 'chines', 'shop', 'owner', 'totana', 'murcia', 'spain', 'coronaviru']",0
"['author', 'implement', 'temperatur', 'test', 'travel', 'china']",0
"['video', 'person', 'infect', 'coronaviru', 'detain', 'polic']",0
