Text,Label
 Tencent revealed the real number of deaths.		,0
 Taking chlorine dioxide helps fight coronavirus.		,0
 This video shows workmen uncovering a bat-infested roof in the US state of Florida in 2011.		,0
 The Asterix comic books and The Simpsons predicted the coronavirus outbreak.		,0
 Chinese President Xi Jinping visited a mosque amid the coronavirus outbreak and asked the people of the Muslim community to pray about present crisis.		,0
" China seeks court approval to kill over 20,000 coronavirus patients to stop the spread of the outbreak.		",0
 A video shows people screaming in Wuhan because they feared the coronavirus.		,0
 A video says weed kills coronavirus.		,0
 Coronavirus has been found in broiler chicken.		,0
" In a photo of Pakistani Prime Minister Imran Khan and Chinese President Xi Jinping, Imran Khan is wearing a mask.		",0
 Autopsy reveals a Wuhan doctor was murdered in his sickbed.		,0
" The new coronavirus ""causes sudden death syndrome.""		",0
 Coronavirus is caused by snakes.		,0
 Can cannabis cure coronavirus?		,0
 A woman infected with the coronavirus was killed by Chinese police.		,0
 Garlic water can cure novel coronavirus.		,0
 Coronavirus is found in broiler chicken.		,0
 Bill Gates predicted coronavirus.		,0
" In 2012, a Facebook user predicted coronavirus from China.		",0
 There is a case of coronavirus in Caserta.		,0
 COVID-19 was stolen from Canada by Chinese spies and accidentally released in Wuhan.		,0
 There is a case of coronavirus in Andorra.		,0
" A child from China has coronavirus in Galicia, Spain.		",0
 A person with coronavirus is in Andorra on 2/10/20.		,0
 Satellite images show high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		,0
 Pets can contaminate humans.		,0
 People are lying on the ground in China because they contracted the coronavirus.		,0
 Cats and dogs can be infected and can contaminate humans with COVID-19.		,0
" Coronavirus-infected chicken has been found in Bengaluru, India.		",0
" Videos state that 25,000 Chinese are being killed.		",0
 People in Wuhan are locked inside their houses by the Chinese government.		,0
" ""Breaking",0
" The coronavirus epidemic will disappear in April thanks to the heat, as President Donald Trump said.		",0
 Police publicly kill a coronavirus-infected woman in China.		,0
" ""THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPSE TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA. Please share with your contacts. Very important""		",0
" China is seeking court's approval to kill 20,000 people positive with coronavirus		",0
" China seeks court's approval to kill 20,000 coronavirus patients.		",0
 Hand sanitizer form 2010 is labeled against COVID-19.		,0
 China orders citizens to abandon/kill their pets as they can transmit coronavirus.		,0
 Vitamin C and Omega prevent the new coronavirus.		,0
 Germans quarantined in La Gomera by the coronavirus leave home isolation without permission.		,0
" The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		",0
" Coronavirus cases reported in Rome, Georgia.		",0
" Silver Solution used on strains of coronavirus ""totally eliminates it. Kills it. Deactivates it.""		",0
 Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan.		,0
 Weed kills the coronavirus.		,0
 COVID-19 was caused by 5G antennas.		,0
 Satellite images showing high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		,0
 Using cocaine kills the coronavirus		,0
" The Chinese news website Tencent filters that there are more than 24,000 deaths from coronavirus.		",0
 Claims of cannibalism in China,0
" This is a person with coronavirus in Calella, Barcelona (2/13/20).		",0
 Sulfur dioxide pollution in Wuhan reveals that China is burning bodies of victims.		,0
 Coronavirus was created in a lab in Wuhan.		,0
 People in Wuhan are locked inside their houses trying to escape a building fire.		,0
 The WHO declared COVID-19 is the abbreviation for China Outbreak Virus in December 2019.		,0
 A video shows police killing COVID-19 affected people in China.		,0
 Chicken infected from coronavirus found In Bangalore.		,0
 Video of police killing COVID-19 affected people in China.		,0
 A video shows a Chinese epidemiologist saying there are millions of people infected.		,0
" This photo is a ""chinese tapa""?from a bat.		",0
 A residential building was set on fire in Wuhan to control spread of coronavirus.		,0
 High-rise buildings have become human incinerators to combat the spread of the coronavirus.		,0
 New confirmed cases of COVID-19 in Kolkatta reported by Press Trust of India.		,0
" High levels of sulfur dioxide in Wuhan ""may be a sign of mass cremations of victims of the coronavirus.""		",0
" China has announced the sucess of Egyptian serum form Dr. Hala, Ealth Miniter of Egypt, against coronavirus		",0
" China has announced the success of Egyptian serum form Dr. Hala, Health Minister of Egypt, against coronavirus		",0
 There is a COVID-19 case in east Indian state.		,0
 Bus driver in China vomits blood after becoming unconscious behind the wheel.		,0
" A video shows a massive explosion in Wuhan, China, to control the spread of coronavirus.		",0
 Black skin is resistant to coronavirus.		,0
" Consuming magnesium chloride, sodium bicarbonate, ginger and lemon juice prevents coronavirus infection.		",0
 Latest research by Chinese scientists said coronavirus will render most male patients infertile.		,0
 This bottle of disinfectant gel proves that the coronavirus existed before 2019.		,0
 The coronavirus outbreak in Georgia is caused by the EU-Georgia Association Agreement.		,0
 Drinking alcohol kills the coronavirus.		,0
" Seven children died from coronavirus within one week in Karimganj (Assam, India).		",0
 Cocaine kills the coronavirus.		,0
 Data shows a massive release of sulfur dioxide gas near Wuhan.		,0
 Popping bubble wrap exposes people to coronavirus.		,0
 20 million Chinese people converted to Islam after it was proven that the coronavirus does not affect Muslims.		,0
